,interactor A,interactor B,prob
0,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-310N|refseq:NP_116614|uniprotkb:P60010,1.0
1,DIP-2333N|refseq:NP_009576|uniprotkb:P04385,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
2,DIP-2292N|refseq:NP_009685|uniprotkb:P16140,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
3,DIP-7880N|uniprotkb:P04173,DIP-3988N|refseq:NP_009628|uniprotkb:P15992,1.0
4,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-17N|refseq:NP_015435|uniprotkb:P07703,1.0
5,DIP-7880N|uniprotkb:P04173,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,1.0
6,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-3025N|refseq:NP_009453|uniprotkb:P07251,1.0
7,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
8,DIP-310N|refseq:NP_116614|uniprotkb:P60010,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
9,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
10,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-1605N|refseq:NP_009755|uniprotkb:P12709,1.0
11,DIP-7880N|uniprotkb:P04173,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,1.0
12,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-2389N|refseq:NP_013762|uniprotkb:Q02630,1.0
13,DIP-6468N|refseq:NP_011378|uniprotkb:P41811,DIP-411N|refseq:NP_012579|uniprotkb:P12398,1.0
14,DIP-770N|refseq:NP_010676|uniprotkb:P39743,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
15,DIP-4313N|refseq:NP_011104|uniprotkb:P29311,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
16,DIP-1432N|refseq:NP_013391|uniprotkb:Q02574,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
17,DIP-1399N|refseq:NP_009573|uniprotkb:P38217,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
18,DIP-6468N|refseq:NP_011378|uniprotkb:P41811,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
19,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-411N|refseq:NP_012579|uniprotkb:P12398,1.0
20,DIP-6260N|refseq:NP_012770|uniprotkb:P00950,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
21,DIP-1691N|refseq:NP_013647|uniprotkb:P38987,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
22,DIP-2217N|refseq:NP_010255|uniprotkb:P32381,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
23,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
24,DIP-701N|refseq:NP_015411|uniprotkb:P29055,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
25,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-2251N|refseq:NP_014335|uniprotkb:P25491,1.0
26,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
27,DIP-2704N|refseq:NP_010157|uniprotkb:P25694,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
28,DIP-2389N|refseq:NP_013762|uniprotkb:Q02630,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
29,DIP-2251N|refseq:NP_014335|uniprotkb:P25491,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
30,DIP-1290N|refseq:NP_009611|uniprotkb:P19735,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
31,DIP-7880N|uniprotkb:P04173,DIP-1691N|refseq:NP_013647|uniprotkb:P38987,1.0
32,DIP-1605N|refseq:NP_009755|uniprotkb:P12709,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
33,DIP-2333N|refseq:NP_009576|uniprotkb:P04385,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
34,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-3030N|refseq:NP_013398|uniprotkb:Q12349,1.0
35,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-3028N|refseq:NP_012655|uniprotkb:P00830,1.0
36,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-3028N|refseq:NP_012655|uniprotkb:P00830,1.0
37,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-2333N|refseq:NP_009576|uniprotkb:P04385,1.0
38,DIP-7880N|uniprotkb:P04173,DIP-411N|refseq:NP_012579|uniprotkb:P12398,1.0
39,DIP-2757N|refseq:NP_013824|uniprotkb:Q04437,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
40,DIP-6667N|refseq:NP_013281|uniprotkb:P10659,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
41,DIP-1587N|refseq:NP_010682|uniprotkb:P33298,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
42,DIP-2619N|refseq:NP_013932|uniprotkb:P16862,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
43,DIP-2292N|refseq:NP_009685|uniprotkb:P16140,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
44,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,1.0
45,DIP-2389N|refseq:NP_013762|uniprotkb:Q02630,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
46,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-1691N|refseq:NP_013647|uniprotkb:P38987,1.0
47,DIP-3028N|refseq:NP_012655|uniprotkb:P00830,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
48,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
49,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-2389N|refseq:NP_013762|uniprotkb:Q02630,1.0
50,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-3988N|refseq:NP_009628|uniprotkb:P15992,1.0
51,DIP-3025N|refseq:NP_009453|uniprotkb:P07251,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
52,DIP-2143N|refseq:NP_011982|uniprotkb:P38822,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
53,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-3988N|refseq:NP_009628|uniprotkb:P15992,1.0
54,DIP-17N|refseq:NP_015435|uniprotkb:P07703,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
55,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-1691N|refseq:NP_013647|uniprotkb:P38987,1.0
56,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-1691N|refseq:NP_013647|uniprotkb:P38987,1.0
57,DIP-5336N|refseq:NP_011004|uniprotkb:P40054,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
58,DIP-1605N|refseq:NP_009755|uniprotkb:P12709,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
59,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-2292N|refseq:NP_009685|uniprotkb:P16140,1.0
60,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-17N|refseq:NP_015435|uniprotkb:P07703,1.0
61,DIP-157N|refseq:NP_015120|uniprotkb:P29295,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
62,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,DIP-1189N|refseq:NP_009776|uniprotkb:P38316,1.0
63,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
64,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-2292N|refseq:NP_009685|uniprotkb:P16140,1.0
65,DIP-8852N|uniprotkb:Q08224,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
66,DIP-3988N|refseq:NP_009628|uniprotkb:P15992,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
67,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-411N|refseq:NP_012579|uniprotkb:P12398,1.0
68,DIP-7880N|uniprotkb:P04173,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
69,DIP-3988N|refseq:NP_009628|uniprotkb:P15992,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,1.0
70,DIP-5377N|refseq:NP_116711|uniprotkb:P04806,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
71,DIP-2340N|refseq:NP_116616|uniprotkb:P02557,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
72,DIP-2068N|refseq:NP_010224|uniprotkb:Q12223,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
73,DIP-3030N|refseq:NP_013398|uniprotkb:Q12349,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
74,DIP-7880N|uniprotkb:P04173,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
75,DIP-7880N|uniprotkb:P04173,DIP-2292N|refseq:NP_009685|uniprotkb:P16140,1.0
76,DIP-2250N|refseq:NP_009676|uniprotkb:P02994,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
77,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-2389N|refseq:NP_013762|uniprotkb:Q02630,1.0
